Name,Team,goals,successfulDribbles,goalConversionPercentage,tackles,interceptions,clearances,accuratePasses,accuratePassesPercentage,keyPasses,rating
Fernandinho,Manchester City,5,22,10.64,62,47,65,2679,90.05,24,7.31
Roberto Firmino,Liverpool,15,50,17.86,65,18,8,850,72.53,58,7.31
Cesc Fàbregas,Chelsea,2,18,5.26,68,22,23,1826,83.42,91,7.35
Pierre-Emerick Aubameyang,Arsenal,10,11,32.26,5,3,7,220,69.4,14,7.35
Aaron Wan-Bissaka,Crystal Palace,0,13,0.0,29,15,34,148,72.91,3,7.37
Raheem Sterling,Manchester City,18,64,20.69,19,9,7,983,84.02,56,7.38
Paul Pogba,Manchester United,6,75,7.89,33,21,25,1468,85.3,39,7.4
Sergio Romero,Manchester United,0,0,0.0,0,0,0,12,60.0,0,7.4
Christian Eriksen,Tottenham Hotspur,10,29,10.31,51,31,17,1860,82.37,96,7.43
Leroy Sané,Manchester City,10,85,17.54,27,13,6,919,84.23,60,7.44
Harry Kane,Tottenham Hotspur,30,47,16.3,17,5,19,468,71.23,33,7.53
David Silva,Manchester City,9,38,16.67,32,18,6,2160,88.93,63,7.56
Mesut Özil,Arsenal,4,36,10.26,20,12,5,1564,86.46,85,7.57
Alexis Sánchez,Manchester United,9,84,10.23,41,23,0,1075,73.88,82,7.58
Mohamed Salah,Liverpool,32,78,22.22,12,5,3,726,76.74,63,7.62
Sergio Agüero,Manchester City,21,56,22.34,9,6,3,520,82.8,40,7.63
Jérémy Pied,Southampton,0,2,0.0,9,8,4,74,77.08,2,7.7
Eden Hazard,Chelsea,12,165,16.9,6,3,0,1144,83.44,84,7.79
Kevin De Bruyne,Manchester City,8,63,8.51,62,25,12,2247,83.44,111,7.79
Philippe Coutinho,Liverpool,7,39,12.96,17,10,2,544,78.84,40,8.01
Marko Arnautović,West Ham United,11,56,15.49,21,13,32,489,71.49,35,7.19
Oleksandr Zinchenko,Manchester City,0,3,0.0,23,6,7,621,92.41,8,7.19
Virgil van Dijk,Liverpool,0,5,0.0,25,47,155,1564,88.31,8,7.19
Paulo Gazzaniga,Tottenham Hotspur,0,0,0.0,0,0,1,17,77.27,0,7.2
Nicolás Otamendi,Manchester City,4,5,12.5,58,48,122,2825,91.9,12,7.2
Laurent Koscielny,Arsenal,2,2,22.22,43,54,134,1553,89.0,7,7.21
Phil Jones,Manchester United,0,7,0.0,25,41,129,988,91.23,2,7.21
Granit Xhaka,Arsenal,1,18,1.52,78,37,64,2708,86.91,41,7.21
Jan Vertonghen,Tottenham Hotspur,0,30,0.0,64,60,170,2148,86.33,12,7.22
Emre Can,Liverpool,3,24,11.11,67,28,32,1320,85.55,25,7.22
Serge Aurier,Tottenham Hotspur,2,15,13.33,48,31,48,616,79.38,15,7.23
Xherdan Shaqiri,Stoke City,8,39,11.59,25,16,4,839,79.53,77,7.24
Ben Davies,Tottenham Hotspur,2,15,11.11,47,28,62,1045,80.14,47,7.25
Kieran Trippier,Tottenham Hotspur,0,13,0.0,52,20,45,1031,81.44,41,7.25
Willian,Chelsea,6,67,11.11,22,10,9,741,80.19,62,7.26
Sadio Mané,Liverpool,10,55,14.29,28,9,7,773,80.35,50,7.27
Aaron Ramsey,Arsenal,7,29,12.5,35,24,6,1052,84.91,29,7.28
Jesús Gámez,Newcastle United,0,1,0.0,4,2,5,37,82.22,4,7.3
Yohan Benalouane,Leicester City,0,0,0.0,7,1,4,17,62.96,0,7.3
César Azpilicueta,Chelsea,2,6,15.38,80,54,119,2395,86.81,32,7.31
Fabian Delph,Manchester City,1,30,10.0,46,30,35,1501,93.0,11,7.1
Nemanja Matić,Manchester United,1,54,5.56,70,64,56,2281,87.7,25,7.11
Marcos Alonso,Chelsea,7,17,10.77,51,47,60,1070,79.44,34,7.11
Christopher Schindler,Huddersfield Town,0,2,0.0,83,75,265,1130,81.35,9,7.11
Henrikh Mkhitaryan,Arsenal,3,30,8.33,33,15,5,787,80.31,44,7.12
Andrew Robertson,Liverpool,1,9,8.33,31,26,49,1237,87.05,24,7.13
James Tarkowski,Burnley,0,11,0.0,46,50,219,798,72.94,7,7.13
N'Golo Kanté,Chelsea,1,47,4.0,113,86,26,1921,89.31,41,7.14
Chris Brunt,West Bromwich Albion,0,15,0.0,41,21,39,650,73.7,37,7.15
Junior Stanislas,Bournemouth,5,20,11.11,16,6,11,378,77.3,24,7.15
Wilfried Zaha,Crystal Palace,9,118,14.06,30,6,1,469,75.4,54,7.16
Andros Townsend,Crystal Palace,2,84,3.23,60,35,21,804,78.59,68,7.16
Ben Mee,Burnley,0,3,0.0,33,33,208,818,76.38,6,7.16
Manuel Lanzini,West Ham United,5,65,11.36,20,30,5,1064,87.64,41,7.17
James Tomkins,Crystal Palace,3,6,13.04,47,66,213,722,81.58,1,7.17
Robbie Brady,Burnley,1,16,4.17,32,7,25,309,68.06,26,7.17
Vincent Kompany,Manchester City,1,3,11.11,20,16,71,1323,92.58,4,7.18
Pascal Groß,Brighton & Hove Albion,7,11,16.28,36,14,19,927,76.23,87,7.18
Romelu Lukaku,Manchester United,16,35,18.6,7,3,21,493,68.38,34,7.18
Chris Smalling,Manchester United,4,3,30.77,40,63,159,996,87.6,2,7.18
Andreas Christensen,Chelsea,0,5,0.0,26,38,104,1260,93.4,4,7.06
Eric Bailly,Manchester United,1,4,33.33,17,25,56,367,86.15,2,7.06
Alex Oxlade-Chamberlain,Liverpool,3,57,6.38,37,26,13,688,82.3,41,7.06
Dejan Lovren,Liverpool,2,0,14.29,26,38,142,1595,88.46,6,7.07
Ashley Young,Manchester United,2,29,11.11,53,57,72,1022,79.53,26,7.07
Nacho Monreal,Arsenal,5,6,22.73,54,56,74,1539,89.53,13,7.07
Kevin Long,Burnley,1,0,10.0,32,19,125,388,71.45,6,7.07
Kurt Zouma,Stoke City,1,22,5.0,49,61,230,798,78.08,6,7.07
Riyad Mahrez,Leicester City,12,80,16.44,39,18,9,1013,79.45,59,7.08
Antonio Valencia,Manchester United,3,29,18.75,57,48,60,1367,85.33,23,7.08
Daley Blind,Manchester United,0,1,0.0,6,7,12,191,85.27,4,7.08
Shkodran Mustafi,Arsenal,3,1,23.08,64,57,171,1494,86.16,8,7.08
Aymeric Laporte,Manchester City,0,3,0.0,8,11,26,750,92.48,2,7.09
Juan Mata,Manchester United,3,17,10.71,18,15,7,1054,86.75,51,7.09
Sullay Kaikai,Crystal Palace,0,2,0.0,1,0,1,4,66.67,0,7.1
Danilo,Manchester City,3,8,15.79,43,19,28,999,89.92,6,7.1
